integration_run_id,customer_id,workflow_run_id,integration_name,started_at,run_status,records_processed,integration_metadata
69,4,27,Claygent,2026-05-01,completed,2091,"{""provider_category"": ""AI"", ""response_time_ms"": 1395, ""error_code"": null}"
70,4,28,HubSpot,2026-06-20,completed,1749,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1592, ""error_code"": null}"
71,4,28,Claygent,2026-06-20,completed,2129,"{""provider_category"": ""AI"", ""response_time_ms"": 1294, ""error_code"": null}"
72,4,29,OpenAI,2026-06-05,completed,1006,"{""provider_category"": ""AI"", ""response_time_ms"": 1882, ""error_code"": null}"
73,4,29,Apollo,2026-06-05,completed,228,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1503, ""error_code"": null}"
74,4,29,Waterfall,2026-06-05,completed,1987,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1761, ""error_code"": null}"
75,4,29,LinkedIn Sales Navigator,2026-06-05,completed,1631,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 823, ""error_code"": null}"
76,4,29,Claygent,2026-06-05,completed,2078,"{""provider_category"": ""AI"", ""response_time_ms"": 351, ""error_code"": null}"
77,4,30,OpenAI,2026-06-09,completed,1135,"{""provider_category"": ""AI"", ""response_time_ms"": 1586, ""error_code"": null}"
78,4,31,Waterfall,2026-07-20,completed,1227,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1131, ""error_code"": null}"
79,4,31,Claygent,2026-07-20,completed,420,"{""provider_category"": ""AI"", ""response_time_ms"": 1977, ""error_code"": null}"
80,4,32,Waterfall,2026-05-10,completed,787,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 896, ""error_code"": null}"
81,4,32,LinkedIn Sales Navigator,2026-05-10,completed,767,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 523, ""error_code"": null}"
82,4,32,Claygent,2026-05-10,completed,1616,"{""provider_category"": ""AI"", ""response_time_ms"": 1186, ""error_code"": null}"
83,4,33,Apollo,2026-05-27,completed,1921,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1437, ""error_code"": null}"
84,4,33,LinkedIn Sales Navigator,2026-05-27,completed,865,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1775, ""error_code"": null}"
85,4,33,HubSpot,2026-05-27,completed,2029,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 636, ""error_code"": null}"
86,4,33,OpenAI,2026-05-27,completed,1021,"{""provider_category"": ""AI"", ""response_time_ms"": 1762, ""error_code"": null}"
87,4,33,Claygent,2026-05-27,completed,2392,"{""provider_category"": ""AI"", ""response_time_ms"": 1670, ""error_code"": null}"
88,4,34,HubSpot,2026-06-04,failed,828,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1226, ""error_code"": ""mapping_error""}"
89,4,34,Apollo,2026-06-04,failed,610,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 597, ""error_code"": ""mapping_error""}"
90,4,34,Waterfall,2026-06-04,failed,211,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1465, ""error_code"": ""rate_limit""}"
91,4,34,Salesforce,2026-06-04,failed,186,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1694, ""error_code"": ""mapping_error""}"
92,4,34,Claygent,2026-06-04,failed,588,"{""provider_category"": ""AI"", ""response_time_ms"": 569, ""error_code"": ""rate_limit""}"
93,4,35,OpenAI,2026-05-20,completed,626,"{""provider_category"": ""AI"", ""response_time_ms"": 1124, ""error_code"": null}"
94,4,36,LinkedIn Sales Navigator,2026-06-17,completed,1007,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 2131, ""error_code"": null}"
95,4,36,OpenAI,2026-06-17,completed,152,"{""provider_category"": ""AI"", ""response_time_ms"": 2499, ""error_code"": null}"
96,4,36,Apollo,2026-06-17,completed,1393,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1106, ""error_code"": null}"
97,4,36,Claygent,2026-06-17,completed,308,"{""provider_category"": ""AI"", ""response_time_ms"": 2101, ""error_code"": null}"
98,4,37,Apollo,2026-06-19,completed,682,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1899, ""error_code"": null}"
99,4,37,Salesforce,2026-06-19,completed,455,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 2204, ""error_code"": null}"
100,4,37,LinkedIn Sales Navigator,2026-06-19,completed,1721,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1345, ""error_code"": null}"
101,4,37,OpenAI,2026-06-19,completed,184,"{""provider_category"": ""AI"", ""response_time_ms"": 1717, ""error_code"": null}"
102,4,37,Claygent,2026-06-19,completed,939,"{""provider_category"": ""AI"", ""response_time_ms"": 2016, ""error_code"": null}"
103,4,38,Salesforce,2026-05-10,completed,137,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 407, ""error_code"": null}"
104,4,38,HubSpot,2026-05-10,completed,1416,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1197, ""error_code"": null}"
105,4,38,Claygent,2026-05-10,completed,565,"{""provider_category"": ""AI"", ""response_time_ms"": 1040, ""error_code"": null}"
106,4,39,HubSpot,2026-07-12,completed,155,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 739, ""error_code"": null}"
107,4,39,Waterfall,2026-07-12,completed,110,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1667, ""error_code"": null}"
108,4,39,Claygent,2026-07-12,completed,1024,"{""provider_category"": ""AI"", ""response_time_ms"": 1526, ""error_code"": null}"
109,4,40,LinkedIn Sales Navigator,2026-05-04,completed,2185,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1435, ""error_code"": null}"
110,4,40,Waterfall,2026-05-04,completed,1926,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 327, ""error_code"": null}"
111,4,40,HubSpot,2026-05-04,completed,299,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 2161, ""error_code"": null}"
112,4,40,Claygent,2026-05-04,completed,1695,"{""provider_category"": ""AI"", ""response_time_ms"": 1946, ""error_code"": null}"
113,4,41,OpenAI,2026-06-23,completed,2120,"{""provider_category"": ""AI"", ""response_time_ms"": 1962, ""error_code"": null}"
114,4,41,LinkedIn Sales Navigator,2026-06-23,completed,456,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 668, ""error_code"": null}"
115,4,41,Salesforce,2026-06-23,completed,2308,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1080, ""error_code"": null}"
116,4,41,Claygent,2026-06-23,completed,1811,"{""provider_category"": ""AI"", ""response_time_ms"": 2049, ""error_code"": null}"
117,4,42,Claygent,2026-06-25,completed,1576,"{""provider_category"": ""AI"", ""response_time_ms"": 732, ""error_code"": null}"
118,4,42,HubSpot,2026-06-25,completed,2328,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 445, ""error_code"": null}"
119,4,42,Salesforce,2026-06-25,completed,2452,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 2500, ""error_code"": null}"
120,4,42,LinkedIn Sales Navigator,2026-06-25,completed,2350,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1550, ""error_code"": null}"
121,4,43,Waterfall,2026-06-12,completed,493,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1634, ""error_code"": null}"
122,4,43,Salesforce,2026-06-12,completed,2328,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1705, ""error_code"": null}"
123,4,43,Claygent,2026-06-12,completed,520,"{""provider_category"": ""AI"", ""response_time_ms"": 1341, ""error_code"": null}"
124,4,44,Salesforce,2026-07-08,completed,793,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 786, ""error_code"": null}"
125,4,44,Apollo,2026-07-08,completed,2369,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1841, ""error_code"": null}"
126,4,44,HubSpot,2026-07-08,completed,335,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 781, ""error_code"": null}"
127,4,44,Claygent,2026-07-08,completed,175,"{""provider_category"": ""AI"", ""response_time_ms"": 575, ""error_code"": null}"
128,4,45,Salesforce,2026-06-20,completed,1864,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1936, ""error_code"": null}"
129,4,45,Claygent,2026-06-20,completed,2039,"{""provider_category"": ""AI"", ""response_time_ms"": 2010, ""error_code"": null}"
130,4,46,Claygent,2026-07-02,completed,915,"{""provider_category"": ""AI"", ""response_time_ms"": 762, ""error_code"": null}"
131,4,47,Claygent,2026-05-13,completed,1933,"{""provider_category"": ""AI"", ""response_time_ms"": 518, ""error_code"": null}"
132,4,47,OpenAI,2026-05-13,completed,1332,"{""provider_category"": ""AI"", ""response_time_ms"": 1958, ""error_code"": null}"
133,4,47,HubSpot,2026-05-13,completed,2398,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1856, ""error_code"": null}"
134,4,48,LinkedIn Sales Navigator,2026-05-12,completed,1320,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1590, ""error_code"": null}"
135,4,48,OpenAI,2026-05-12,completed,957,"{""provider_category"": ""AI"", ""response_time_ms"": 1564, ""error_code"": null}"
136,4,48,HubSpot,2026-05-12,completed,738,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 512, ""error_code"": null}"
137,4,48,Claygent,2026-05-12,completed,2140,"{""provider_category"": ""AI"", ""response_time_ms"": 667, ""error_code"": null}"
138,4,49,Waterfall,2026-06-11,completed,2073,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 2100, ""error_code"": null}"
139,4,50,OpenAI,2026-06-24,failed,1290,"{""provider_category"": ""AI"", ""response_time_ms"": 1325, ""error_code"": ""mapping_error""}"
140,4,50,Claygent,2026-06-24,failed,280,"{""provider_category"": ""AI"", ""response_time_ms"": 1641, ""error_code"": ""mapping_error""}"
141,4,51,OpenAI,2026-06-24,completed,2391,"{""provider_category"": ""AI"", ""response_time_ms"": 971, ""error_code"": null}"
142,4,52,Waterfall,2026-07-01,failed,1849,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 2346, ""error_code"": ""mapping_error""}"
143,4,52,Claygent,2026-07-01,failed,700,"{""provider_category"": ""AI"", ""response_time_ms"": 1690, ""error_code"": ""rate_limit""}"
144,4,53,Apollo,2026-06-10,completed,629,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1632, ""error_code"": null}"
145,4,53,Claygent,2026-06-10,completed,1320,"{""provider_category"": ""AI"", ""response_time_ms"": 1805, ""error_code"": null}"
146,4,54,Apollo,2026-05-08,completed,2041,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 986, ""error_code"": null}"
147,4,54,Waterfall,2026-05-08,completed,977,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 763, ""error_code"": null}"
148,4,54,Salesforce,2026-05-08,completed,684,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 516, ""error_code"": null}"
149,4,54,Claygent,2026-05-08,completed,1261,"{""provider_category"": ""AI"", ""response_time_ms"": 614, ""error_code"": null}"
150,4,55,Claygent,2026-07-04,completed,1217,"{""provider_category"": ""AI"", ""response_time_ms"": 2038, ""error_code"": null}"
151,4,55,OpenAI,2026-07-04,completed,1008,"{""provider_category"": ""AI"", ""response_time_ms"": 2387, ""error_code"": null}"
152,4,55,Apollo,2026-07-04,completed,1029,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1467, ""error_code"": null}"
153,4,55,Waterfall,2026-07-04,completed,1971,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 994, ""error_code"": null}"
154,4,56,HubSpot,2026-06-23,completed,2163,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 710, ""error_code"": null}"
155,4,56,Apollo,2026-06-23,completed,1217,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 543, ""error_code"": null}"
156,4,56,LinkedIn Sales Navigator,2026-06-23,completed,706,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1317, ""error_code"": null}"
157,4,56,Claygent,2026-06-23,completed,1890,"{""provider_category"": ""AI"", ""response_time_ms"": 2302, ""error_code"": null}"
158,4,57,Apollo,2026-05-26,completed,1355,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 605, ""error_code"": null}"
159,4,57,Claygent,2026-05-26,completed,1423,"{""provider_category"": ""AI"", ""response_time_ms"": 798, ""error_code"": null}"
160,4,58,Claygent,2026-06-27,completed,1026,"{""provider_category"": ""AI"", ""response_time_ms"": 1919, ""error_code"": null}"
161,4,58,Apollo,2026-06-27,completed,1922,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 457, ""error_code"": null}"
162,4,58,Waterfall,2026-06-27,completed,504,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 2247, ""error_code"": null}"
163,4,58,Salesforce,2026-06-27,completed,2494,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 2395, ""error_code"": null}"
164,4,59,LinkedIn Sales Navigator,2026-07-10,completed,327,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 2354, ""error_code"": null}"
165,4,60,Waterfall,2026-07-07,completed,1411,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 746, ""error_code"": null}"
166,4,60,Salesforce,2026-07-07,completed,231,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1643, ""error_code"": null}"
167,4,60,Claygent,2026-07-07,completed,2286,"{""provider_category"": ""AI"", ""response_time_ms"": 1586, ""error_code"": null}"
168,4,61,Apollo,2026-06-26,completed,2161,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1831, ""error_code"": null}"
169,4,62,Salesforce,2026-05-02,completed,2082,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 2237, ""error_code"": null}"
170,4,62,OpenAI,2026-05-02,completed,1554,"{""provider_category"": ""AI"", ""response_time_ms"": 2326, ""error_code"": null}"
171,4,62,HubSpot,2026-05-02,completed,1142,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 538, ""error_code"": null}"
172,4,62,Apollo,2026-05-02,completed,1788,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 523, ""error_code"": null}"
173,4,63,Apollo,2026-07-06,completed,1831,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1324, ""error_code"": null}"
174,4,63,OpenAI,2026-07-06,completed,284,"{""provider_category"": ""AI"", ""response_time_ms"": 507, ""error_code"": null}"
175,4,63,Claygent,2026-07-06,completed,1713,"{""provider_category"": ""AI"", ""response_time_ms"": 1688, ""error_code"": null}"
176,4,63,HubSpot,2026-07-06,completed,2151,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 855, ""error_code"": null}"
177,5,64,Salesforce,2026-04-06,completed,1239,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1428, ""error_code"": null}"
178,5,64,Apollo,2026-04-06,completed,695,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 913, ""error_code"": null}"
179,5,64,Claygent,2026-04-06,completed,1530,"{""provider_category"": ""AI"", ""response_time_ms"": 2283, ""error_code"": null}"
180,5,65,OpenAI,2026-03-27,failed,1727,"{""provider_category"": ""AI"", ""response_time_ms"": 502, ""error_code"": ""timeout""}"
181,5,65,Salesforce,2026-03-27,failed,1348,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 503, ""error_code"": ""rate_limit""}"
182,5,65,HubSpot,2026-03-27,failed,1958,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 2319, ""error_code"": ""rate_limit""}"
183,5,66,Apollo,2026-05-24,failed,2175,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1363, ""error_code"": ""timeout""}"
184,5,66,Salesforce,2026-05-24,failed,1076,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1004, ""error_code"": ""mapping_error""}"
185,5,66,Claygent,2026-05-24,failed,2306,"{""provider_category"": ""AI"", ""response_time_ms"": 1324, ""error_code"": ""timeout""}"
186,5,67,Salesforce,2026-05-17,completed,174,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 2239, ""error_code"": null}"
187,5,67,Waterfall,2026-05-17,completed,2284,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1386, ""error_code"": null}"
188,5,67,LinkedIn Sales Navigator,2026-05-17,completed,1287,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 2178, ""error_code"": null}"
189,5,68,HubSpot,2026-04-17,completed,1464,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1833, ""error_code"": null}"
190,5,68,Salesforce,2026-04-17,completed,585,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1717, ""error_code"": null}"
191,5,68,Apollo,2026-04-17,completed,2159,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 2500, ""error_code"": null}"
192,5,69,LinkedIn Sales Navigator,2026-05-08,completed,702,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 2240, ""error_code"": null}"
193,5,69,Salesforce,2026-05-08,completed,2158,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 2112, ""error_code"": null}"
194,5,69,Apollo,2026-05-08,completed,2092,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1463, ""error_code"": null}"
195,5,69,Claygent,2026-05-08,completed,2087,"{""provider_category"": ""AI"", ""response_time_ms"": 294, ""error_code"": null}"
196,5,70,Waterfall,2026-05-07,completed,1690,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 409, ""error_code"": null}"
197,5,70,Apollo,2026-05-07,completed,2385,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 997, ""error_code"": null}"
198,5,70,Salesforce,2026-05-07,completed,1534,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 2466, ""error_code"": null}"
199,5,70,OpenAI,2026-05-07,completed,1232,"{""provider_category"": ""AI"", ""response_time_ms"": 501, ""error_code"": null}"
200,5,71,HubSpot,2026-05-19,failed,1694,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 2248, ""error_code"": ""timeout""}"
201,5,71,Waterfall,2026-05-19,failed,235,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 359, ""error_code"": ""timeout""}"
202,5,71,Salesforce,2026-05-19,failed,1414,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 2140, ""error_code"": ""mapping_error""}"
203,5,72,Apollo,2026-05-14,completed,498,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1906, ""error_code"": null}"
204,5,72,Claygent,2026-05-14,completed,2440,"{""provider_category"": ""AI"", ""response_time_ms"": 1460, ""error_code"": null}"
205,5,73,LinkedIn Sales Navigator,2026-05-25,completed,500,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 981, ""error_code"": null}"
