outcome_id,customer_id,event_date,meetings_booked,opportunities_created,pipeline_generated,closed_won_revenue,outcome_metadata
16,16,2026-05-03,114,47,1063422,123629,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
17,17,2026-04-17,213,115,933800,114616,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
18,18,2026-05-28,20,8,154392,15083,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
19,19,2026-07-12,132,34,323884,49272,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
20,20,2026-05-16,79,28,548772,67020,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
21,21,2026-08-03,125,35,279510,31771,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
22,22,2026-03-25,601,330,7853010,1825640,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
23,23,2026-04-14,264,98,873376,62756,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
24,24,2026-07-22,23,9,85428,11025,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
25,25,2026-05-09,3,1,22703,2156,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
26,26,2026-06-30,87,25,439400,105674,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
27,27,2026-04-11,28,8,81504,7200,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
28,28,2026-02-28,56,28,554316,54599,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
29,29,2026-06-28,6,1,19881,3697,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
30,30,2026-04-25,64,22,482548,44648,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
31,31,2026-05-27,926,392,2789472,499376,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
32,32,2026-03-22,138,50,438400,27156,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
33,33,2026-02-14,230,126,1236816,301397,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
34,34,2026-06-12,116,39,352911,33332,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
35,35,2026-04-10,105,50,1077350,130357,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
36,36,2026-05-23,94,50,990950,85126,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
37,37,2026-03-13,17,8,51288,6082,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
38,38,2026-04-03,182,52,438048,50335,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
39,39,2026-05-20,19,5,59750,4193,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
40,40,2026-03-16,691,324,4010148,400051,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
41,41,2026-04-01,119,63,1247337,282801,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
42,42,2026-05-26,843,263,2410132,579179,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
43,43,2026-04-28,122,36,475920,50397,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
44,44,2026-03-20,110,46,377384,94243,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
45,45,2026-04-25,637,237,5451474,1014317,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
46,46,2026-05-30,203,55,910030,129387,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
47,47,2026-06-18,204,89,2192693,218480,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
48,48,2026-06-18,234,59,358307,44868,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
49,49,2026-04-27,1025,380,7578720,530763,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
50,50,2026-08-05,245,123,1750413,274257,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
51,51,2026-06-18,28,10,111480,26614,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
52,52,2026-02-20,204,104,1448512,170169,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
53,53,2026-03-29,773,259,3801084,684700,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
54,54,2026-05-15,243,63,1060479,60028,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
55,55,2026-03-28,645,294,3383352,647052,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
56,56,2026-05-03,71,31,395498,51309,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
57,57,2026-05-10,175,84,1322916,229989,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
58,58,2026-05-22,193,84,601524,53225,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
59,59,2026-04-09,1242,350,3985100,244849,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
60,60,2026-04-18,214,79,1555984,336389,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
61,61,2026-03-06,1212,634,11901448,1496184,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
62,62,2026-06-29,877,331,4885229,1214887,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
63,63,2026-04-28,831,373,4505467,575380,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
64,64,2026-05-20,127,66,698346,119431,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
65,65,2026-02-23,18,7,137893,8739,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
66,66,2026-03-26,917,406,7643356,1659545,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
67,67,2026-06-06,128,66,1054350,125261,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
68,68,2026-04-02,98,29,298410,61240,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
69,69,2026-03-07,34,9,108720,11861,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
70,70,2026-05-04,908,292,4481324,976310,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
71,71,2026-06-15,640,290,4375230,480343,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
72,72,2026-06-04,14,6,96750,6680,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
73,73,2026-03-23,102,32,446720,51251,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
74,74,2026-05-16,36,16,196784,11124,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
75,75,2026-05-20,229,123,2551512,557136,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
76,76,2026-03-02,4,1,19721,4776,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
77,77,2026-07-05,100,26,635102,115528,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
78,78,2026-05-22,146,38,903184,189856,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
79,79,2026-04-22,3,1,23465,1321,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
80,80,2026-05-02,111,32,723168,107796,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
81,81,2026-03-05,220,62,384276,43642,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
82,82,2026-06-16,116,61,784338,183676,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
83,83,2026-05-07,145,38,311866,21306,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
84,84,2026-05-10,18,8,179936,23419,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
85,85,2026-04-22,12,5,87255,11467,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
86,86,2026-03-06,461,149,1562414,386483,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
87,87,2026-06-26,82,30,658740,155192,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
88,88,2026-07-01,324,93,593526,76698,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
89,89,2026-05-26,679,261,3979728,816880,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
90,90,2026-02-26,231,87,1159710,214459,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
91,91,2026-06-14,7,3,50232,3666,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
92,92,2026-04-05,807,283,5601702,791971,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
93,93,2026-02-12,965,314,7480736,504566,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
94,94,2026-03-01,93,47,1110610,271443,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
95,95,2026-03-09,287,137,2064453,507233,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
96,96,2026-03-31,197,50,1055300,200227,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
97,97,2026-03-21,1,0,0,0,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
98,98,2026-03-01,664,280,1806000,93118,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
99,99,2026-04-20,797,423,8360172,2021796,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
100,100,2026-05-31,17,4,51136,8560,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
