workflow_run_id,customer_id,user_id,workflow_id,started_at,completed_at,run_status,run_metadata
36,4,15,wf_4_13,2026-06-17,2026-06-17 01:53:00,completed,"{""workflow_category"": ""crm_sync"", ""template_used"": ""personalized_outbound"", ""records_input"": 157}"
37,4,16,wf_4_14,2026-06-19,2026-06-19 00:19:00,completed,"{""workflow_category"": ""lead_enrichment"", ""template_used"": ""personalized_outbound"", ""records_input"": 575}"
38,4,15,wf_4_15,2026-05-10,2026-05-10 01:32:00,completed,"{""workflow_category"": ""crm_sync"", ""template_used"": ""personalized_outbound"", ""records_input"": 1230}"
39,4,16,wf_4_16,2026-07-12,2026-07-12 00:32:00,completed,"{""workflow_category"": ""ai_account_research"", ""template_used"": ""lead_enrichment"", ""records_input"": 2541}"
40,4,15,wf_4_17,2026-05-04,2026-05-04 00:21:00,completed,"{""workflow_category"": ""personalized_outbound"", ""template_used"": ""account_research"", ""records_input"": 2050}"
41,4,17,wf_4_18,2026-06-23,2026-06-23 00:14:00,completed,"{""workflow_category"": ""crm_sync"", ""template_used"": ""lead_enrichment"", ""records_input"": 369}"
42,4,16,wf_4_19,2026-06-25,2026-06-25 00:56:00,completed,"{""workflow_category"": ""lead_enrichment"", ""template_used"": ""personalized_outbound"", ""records_input"": 1380}"
43,4,17,wf_4_20,2026-06-12,2026-06-12 01:56:00,completed,"{""workflow_category"": ""waterfall_enrichment"", ""template_used"": ""account_research"", ""records_input"": 1278}"
44,4,17,wf_4_21,2026-07-08,2026-07-08 01:43:00,completed,"{""workflow_category"": ""personalized_outbound"", ""template_used"": ""account_research"", ""records_input"": 2594}"
45,4,16,wf_4_22,2026-06-20,2026-06-20 01:03:00,completed,"{""workflow_category"": ""crm_sync"", ""template_used"": ""crm_enrichment"", ""records_input"": 2424}"
46,4,16,wf_4_23,2026-07-02,2026-07-02 00:19:00,completed,"{""workflow_category"": ""lead_enrichment"", ""template_used"": ""personalized_outbound"", ""records_input"": 2258}"
47,4,15,wf_4_24,2026-05-13,2026-05-13 00:05:00,completed,"{""workflow_category"": ""waterfall_enrichment"", ""template_used"": ""lead_enrichment"", ""records_input"": 1657}"
48,4,15,wf_4_25,2026-05-12,2026-05-12 00:56:00,completed,"{""workflow_category"": ""crm_sync"", ""template_used"": ""personalized_outbound"", ""records_input"": 2924}"
49,4,15,wf_4_26,2026-06-11,2026-06-11 00:49:00,completed,"{""workflow_category"": ""ai_account_research"", ""template_used"": ""account_research"", ""records_input"": 699}"
50,4,17,wf_4_27,2026-06-24,,failed,"{""workflow_category"": ""personalized_outbound"", ""template_used"": ""crm_enrichment"", ""records_input"": 2669}"
51,4,15,wf_4_28,2026-06-24,2026-06-24 00:09:00,completed,"{""workflow_category"": ""crm_sync"", ""template_used"": ""account_research"", ""records_input"": 2619}"
52,4,15,wf_4_29,2026-07-01,,failed,"{""workflow_category"": ""waterfall_enrichment"", ""template_used"": ""crm_enrichment"", ""records_input"": 445}"
53,4,15,wf_4_30,2026-06-10,2026-06-10 01:31:00,completed,"{""workflow_category"": ""crm_sync"", ""template_used"": ""crm_enrichment"", ""records_input"": 487}"
54,4,15,wf_4_31,2026-05-08,2026-05-08 00:44:00,completed,"{""workflow_category"": ""crm_sync"", ""template_used"": ""account_research"", ""records_input"": 2746}"
55,4,15,wf_4_32,2026-07-04,2026-07-04 00:09:00,completed,"{""workflow_category"": ""personalized_outbound"", ""template_used"": ""personalized_outbound"", ""records_input"": 731}"
56,4,17,wf_4_33,2026-06-23,2026-06-23 01:04:00,completed,"{""workflow_category"": ""waterfall_enrichment"", ""template_used"": ""personalized_outbound"", ""records_input"": 763}"
57,4,15,wf_4_34,2026-05-26,2026-05-26 01:49:00,completed,"{""workflow_category"": ""crm_sync"", ""template_used"": ""personalized_outbound"", ""records_input"": 318}"
58,4,16,wf_4_35,2026-06-27,2026-06-27 01:34:00,completed,"{""workflow_category"": ""waterfall_enrichment"", ""template_used"": ""account_research"", ""records_input"": 424}"
59,4,16,wf_4_36,2026-07-10,2026-07-10 00:35:00,completed,"{""workflow_category"": ""crm_sync"", ""template_used"": ""account_research"", ""records_input"": 2618}"
60,4,15,wf_4_37,2026-07-07,2026-07-07 00:07:00,completed,"{""workflow_category"": ""waterfall_enrichment"", ""template_used"": ""personalized_outbound"", ""records_input"": 1629}"
61,4,15,wf_4_38,2026-06-26,2026-06-26 01:34:00,completed,"{""workflow_category"": ""ai_account_research"", ""template_used"": ""account_research"", ""records_input"": 1974}"
62,4,16,wf_4_39,2026-05-02,2026-05-02 01:41:00,completed,"{""workflow_category"": ""crm_sync"", ""template_used"": ""account_research"", ""records_input"": 2785}"
63,4,16,wf_4_40,2026-07-06,2026-07-06 00:42:00,completed,"{""workflow_category"": ""lead_enrichment"", ""template_used"": ""crm_enrichment"", ""records_input"": 1355}"
64,5,19,wf_5_1,2026-04-06,2026-04-06 01:23:00,completed,"{""workflow_category"": ""waterfall_enrichment"", ""template_used"": ""account_research"", ""records_input"": 655}"
65,5,20,wf_5_2,2026-03-27,,failed,"{""workflow_category"": ""lead_enrichment"", ""template_used"": ""crm_enrichment"", ""records_input"": 2014}"
66,5,21,wf_5_3,2026-05-24,,failed,"{""workflow_category"": ""ai_account_research"", ""template_used"": ""account_research"", ""records_input"": 608}"
67,5,19,wf_5_4,2026-05-17,2026-05-17 00:16:00,completed,"{""workflow_category"": ""ai_account_research"", ""template_used"": ""lead_enrichment"", ""records_input"": 2798}"
68,5,19,wf_5_5,2026-04-17,2026-04-17 01:03:00,completed,"{""workflow_category"": ""lead_enrichment"", ""template_used"": ""personalized_outbound"", ""records_input"": 1802}"
69,5,19,wf_5_6,2026-05-08,2026-05-08 00:20:00,completed,"{""workflow_category"": ""ai_account_research"", ""template_used"": ""account_research"", ""records_input"": 307}"
70,5,18,wf_5_7,2026-05-07,2026-05-07 00:35:00,completed,"{""workflow_category"": ""crm_sync"", ""template_used"": ""account_research"", ""records_input"": 1252}"
71,5,18,wf_5_8,2026-05-19,,failed,"{""workflow_category"": ""personalized_outbound"", ""template_used"": ""lead_enrichment"", ""records_input"": 496}"
72,5,20,wf_5_9,2026-05-14,2026-05-14 00:22:00,completed,"{""workflow_category"": ""personalized_outbound"", ""template_used"": ""lead_enrichment"", ""records_input"": 1709}"
73,5,19,wf_5_10,2026-05-25,2026-05-25 01:05:00,completed,"{""workflow_category"": ""personalized_outbound"", ""template_used"": ""account_research"", ""records_input"": 2490}"
74,5,21,wf_5_11,2026-05-02,2026-05-02 00:24:00,completed,"{""workflow_category"": ""ai_account_research"", ""template_used"": ""personalized_outbound"", ""records_input"": 355}"
75,5,21,wf_5_12,2026-04-05,2026-04-05 01:33:00,completed,"{""workflow_category"": ""crm_sync"", ""template_used"": ""crm_enrichment"", ""records_input"": 2395}"
76,5,19,wf_5_13,2026-04-13,2026-04-13 00:22:00,completed,"{""workflow_category"": ""personalized_outbound"", ""template_used"": ""lead_enrichment"", ""records_input"": 307}"
77,6,24,wf_6_1,2026-05-06,2026-05-06 00:37:00,completed,"{""workflow_category"": ""lead_enrichment"", ""template_used"": ""crm_enrichment"", ""records_input"": 1308}"
78,6,22,wf_6_2,2026-03-27,2026-03-27 00:43:00,completed,"{""workflow_category"": ""personalized_outbound"", ""template_used"": ""crm_enrichment"", ""records_input"": 2777}"
79,6,23,wf_6_3,2026-05-02,2026-05-02 00:33:00,completed,"{""workflow_category"": ""ai_account_research"", ""template_used"": ""lead_enrichment"", ""records_input"": 1963}"
80,6,23,wf_6_4,2026-03-10,2026-03-10 01:18:00,completed,"{""workflow_category"": ""ai_account_research"", ""template_used"": ""personalized_outbound"", ""records_input"": 576}"
81,6,24,wf_6_5,2026-04-12,2026-04-12 01:17:00,completed,"{""workflow_category"": ""waterfall_enrichment"", ""template_used"": ""crm_enrichment"", ""records_input"": 189}"
82,6,24,wf_6_6,2026-02-17,2026-02-17 00:41:00,completed,"{""workflow_category"": ""ai_account_research"", ""template_used"": ""personalized_outbound"", ""records_input"": 1633}"
83,6,23,wf_6_7,2026-05-10,2026-05-10 01:37:00,completed,"{""workflow_category"": ""personalized_outbound"", ""template_used"": ""lead_enrichment"", ""records_input"": 1113}"
84,6,24,wf_6_8,2026-02-25,2026-02-25 01:21:00,completed,"{""workflow_category"": ""personalized_outbound"", ""template_used"": ""account_research"", ""records_input"": 1102}"
85,6,24,wf_6_9,2026-03-26,2026-03-26 00:35:00,completed,"{""workflow_category"": ""ai_account_research"", ""template_used"": ""lead_enrichment"", ""records_input"": 1793}"
86,6,22,wf_6_10,2026-04-07,2026-04-07 00:57:00,completed,"{""workflow_category"": ""waterfall_enrichment"", ""template_used"": ""personalized_outbound"", ""records_input"": 1087}"
87,6,23,wf_6_11,2026-03-16,2026-03-16 00:37:00,completed,"{""workflow_category"": ""lead_enrichment"", ""template_used"": ""crm_enrichment"", ""records_input"": 478}"
88,6,22,wf_6_12,2026-02-28,,failed,"{""workflow_category"": ""waterfall_enrichment"", ""template_used"": ""lead_enrichment"", ""records_input"": 1724}"
89,6,24,wf_6_13,2026-04-06,2026-04-06 00:10:00,completed,"{""workflow_category"": ""ai_account_research"", ""template_used"": ""lead_enrichment"", ""records_input"": 166}"
90,7,31,wf_7_1,2026-05-28,2026-05-28 00:37:00,completed,"{""workflow_category"": ""crm_sync"", ""template_used"": ""personalized_outbound"", ""records_input"": 423}"
91,7,25,wf_7_2,2026-05-21,2026-05-21 00:12:00,completed,"{""workflow_category"": ""ai_account_research"", ""template_used"": ""personalized_outbound"", ""records_input"": 1877}"
92,7,29,wf_7_3,2026-04-25,,failed,"{""workflow_category"": ""crm_sync"", ""template_used"": ""account_research"", ""records_input"": 834}"
93,7,31,wf_7_4,2026-05-03,2026-05-03 00:54:00,completed,"{""workflow_category"": ""ai_account_research"", ""template_used"": ""account_research"", ""records_input"": 2151}"
94,7,28,wf_7_5,2026-05-23,2026-05-23 00:34:00,completed,"{""workflow_category"": ""waterfall_enrichment"", ""template_used"": ""lead_enrichment"", ""records_input"": 2884}"
95,7,25,wf_7_6,2026-04-30,2026-04-30 01:01:00,completed,"{""workflow_category"": ""crm_sync"", ""template_used"": ""lead_enrichment"", ""records_input"": 457}"
96,7,26,wf_7_7,2026-05-27,2026-05-27 00:26:00,completed,"{""workflow_category"": ""ai_account_research"", ""template_used"": ""crm_enrichment"", ""records_input"": 1333}"
97,7,31,wf_7_8,2026-05-11,2026-05-11 00:47:00,completed,"{""workflow_category"": ""waterfall_enrichment"", ""template_used"": ""crm_enrichment"", ""records_input"": 1903}"
98,7,27,wf_7_9,2026-06-11,,failed,"{""workflow_category"": ""ai_account_research"", ""template_used"": ""personalized_outbound"", ""records_input"": 1248}"
99,7,26,wf_7_10,2026-05-13,2026-05-13 01:31:00,completed,"{""workflow_category"": ""crm_sync"", ""template_used"": ""crm_enrichment"", ""records_input"": 2797}"
100,7,30,wf_7_11,2026-05-14,2026-05-14 01:14:00,completed,"{""workflow_category"": ""crm_sync"", ""template_used"": ""account_research"", ""records_input"": 547}"
101,7,26,wf_7_12,2026-05-27,2026-05-27 01:16:00,completed,"{""workflow_category"": ""personalized_outbound"", ""template_used"": ""personalized_outbound"", ""records_input"": 1632}"
102,7,28,wf_7_13,2026-05-04,2026-05-04 01:03:00,completed,"{""workflow_category"": ""personalized_outbound"", ""template_used"": ""crm_enrichment"", ""records_input"": 2050}"
103,7,26,wf_7_14,2026-04-11,2026-04-11 00:47:00,completed,"{""workflow_category"": ""waterfall_enrichment"", ""template_used"": ""personalized_outbound"", ""records_input"": 2679}"
104,7,30,wf_7_15,2026-05-02,2026-05-02 00:30:00,completed,"{""workflow_category"": ""crm_sync"", ""template_used"": ""personalized_outbound"", ""records_input"": 2261}"
105,7,28,wf_7_16,2026-05-08,2026-05-08 01:33:00,completed,"{""workflow_category"": ""waterfall_enrichment"", ""template_used"": ""lead_enrichment"", ""records_input"": 2454}"
106,7,29,wf_7_17,2026-04-15,2026-04-15 01:49:00,completed,"{""workflow_category"": ""personalized_outbound"", ""template_used"": ""personalized_outbound"", ""records_input"": 1775}"
107,7,25,wf_7_18,2026-05-24,2026-05-24 01:15:00,completed,"{""workflow_category"": ""personalized_outbound"", ""template_used"": ""crm_enrichment"", ""records_input"": 2324}"
108,7,27,wf_7_19,2026-04-29,,failed,"{""workflow_category"": ""waterfall_enrichment"", ""template_used"": ""crm_enrichment"", ""records_input"": 456}"
109,7,27,wf_7_20,2026-04-12,,failed,"{""workflow_category"": ""crm_sync"", ""template_used"": ""crm_enrichment"", ""records_input"": 2207}"
110,7,30,wf_7_21,2026-05-11,2026-05-11 01:07:00,completed,"{""workflow_category"": ""crm_sync"", ""template_used"": ""personalized_outbound"", ""records_input"": 1636}"
111,7,31,wf_7_22,2026-04-02,,failed,"{""workflow_category"": ""crm_sync"", ""template_used"": ""account_research"", ""records_input"": 2289}"
112,7,25,wf_7_23,2026-06-10,2026-06-10 01:45:00,completed,"{""workflow_category"": ""lead_enrichment"", ""template_used"": ""lead_enrichment"", ""records_input"": 1907}"
113,7,28,wf_7_24,2026-03-28,2026-03-28 00:55:00,completed,"{""workflow_category"": ""ai_account_research"", ""template_used"": ""account_research"", ""records_input"": 2982}"
114,7,25,wf_7_25,2026-03-31,2026-03-31 00:34:00,completed,"{""workflow_category"": ""lead_enrichment"", ""template_used"": ""crm_enrichment"", ""records_input"": 1605}"
115,7,25,wf_7_26,2026-05-13,2026-05-13 01:23:00,completed,"{""workflow_category"": ""ai_account_research"", ""template_used"": ""account_research"", ""records_input"": 673}"
116,7,28,wf_7_27,2026-05-11,2026-05-11 00:42:00,completed,"{""workflow_category"": ""ai_account_research"", ""template_used"": ""personalized_outbound"", ""records_input"": 561}"
117,7,31,wf_7_28,2026-05-30,2026-05-30 01:32:00,completed,"{""workflow_category"": ""waterfall_enrichment"", ""template_used"": ""account_research"", ""records_input"": 168}"
118,7,25,wf_7_29,2026-05-25,2026-05-25 01:43:00,completed,"{""workflow_category"": ""waterfall_enrichment"", ""template_used"": ""lead_enrichment"", ""records_input"": 1236}"
119,7,30,wf_7_30,2026-05-19,2026-05-19 01:23:00,completed,"{""workflow_category"": ""crm_sync"", ""template_used"": ""lead_enrichment"", ""records_input"": 589}"
120,7,30,wf_7_31,2026-04-25,2026-04-25 01:12:00,completed,"{""workflow_category"": ""personalized_outbound"", ""template_used"": ""account_research"", ""records_input"": 2132}"
121,7,26,wf_7_32,2026-05-21,2026-05-21 00:51:00,completed,"{""workflow_category"": ""ai_account_research"", ""template_used"": ""account_research"", ""records_input"": 2364}"
122,7,28,wf_7_33,2026-04-19,2026-04-19 01:47:00,completed,"{""workflow_category"": ""lead_enrichment"", ""template_used"": ""account_research"", ""records_input"": 2005}"
123,7,26,wf_7_34,2026-04-16,,failed,"{""workflow_category"": ""ai_account_research"", ""template_used"": ""account_research"", ""records_input"": 1779}"
124,7,31,wf_7_35,2026-04-26,2026-04-26 00:16:00,completed,"{""workflow_category"": ""ai_account_research"", ""template_used"": ""personalized_outbound"", ""records_input"": 2970}"
125,7,31,wf_7_36,2026-04-21,2026-04-21 00:42:00,completed,"{""workflow_category"": ""crm_sync"", ""template_used"": ""personalized_outbound"", ""records_input"": 2970}"
126,7,28,wf_7_37,2026-04-06,2026-04-06 01:13:00,completed,"{""workflow_category"": ""ai_account_research"", ""template_used"": ""crm_enrichment"", ""records_input"": 1997}"
127,8,32,wf_8_1,2026-05-03,,failed,"{""workflow_category"": ""crm_sync"", ""template_used"": ""account_research"", ""records_input"": 1988}"
128,8,32,wf_8_2,2026-04-28,2026-04-28 00:40:00,completed,"{""workflow_category"": ""waterfall_enrichment"", ""template_used"": ""lead_enrichment"", ""records_input"": 2683}"
129,8,32,wf_8_3,2026-06-01,2026-06-01 01:43:00,completed,"{""workflow_category"": ""ai_account_research"", ""template_used"": ""account_research"", ""records_input"": 1115}"
130,8,32,wf_8_4,2026-05-09,2026-05-09 01:07:00,completed,"{""workflow_category"": ""lead_enrichment"", ""template_used"": ""lead_enrichment"", ""records_input"": 181}"
131,8,33,wf_8_5,2026-05-25,2026-05-25 00:46:00,completed,"{""workflow_category"": ""ai_account_research"", ""template_used"": ""personalized_outbound"", ""records_input"": 2759}"
132,8,32,wf_8_6,2026-05-17,,failed,"{""workflow_category"": ""ai_account_research"", ""template_used"": ""crm_enrichment"", ""records_input"": 1929}"
133,8,33,wf_8_7,2026-06-19,2026-06-19 01:57:00,completed,"{""workflow_category"": ""personalized_outbound"", ""template_used"": ""account_research"", ""records_input"": 2063}"
134,8,33,wf_8_8,2026-07-02,,failed,"{""workflow_category"": ""lead_enrichment"", ""template_used"": ""lead_enrichment"", ""records_input"": 2587}"
135,8,33,wf_8_9,2026-05-17,2026-05-17 00:17:00,completed,"{""workflow_category"": ""personalized_outbound"", ""template_used"": ""lead_enrichment"", ""records_input"": 323}"
136,8,33,wf_8_10,2026-07-08,2026-07-08 01:14:00,completed,"{""workflow_category"": ""crm_sync"", ""template_used"": ""crm_enrichment"", ""records_input"": 864}"
137,8,32,wf_8_11,2026-06-24,,failed,"{""workflow_category"": ""waterfall_enrichment"", ""template_used"": ""personalized_outbound"", ""records_input"": 1324}"
138,8,33,wf_8_12,2026-05-12,2026-05-12 01:50:00,completed,"{""workflow_category"": ""personalized_outbound"", ""template_used"": ""crm_enrichment"", ""records_input"": 374}"
139,8,33,wf_8_13,2026-06-05,2026-06-05 01:28:00,completed,"{""workflow_category"": ""personalized_outbound"", ""template_used"": ""account_research"", ""records_input"": 805}"
140,8,33,wf_8_14,2026-05-16,2026-05-16 00:22:00,completed,"{""workflow_category"": ""waterfall_enrichment"", ""template_used"": ""crm_enrichment"", ""records_input"": 1807}"
141,8,33,wf_8_15,2026-04-24,2026-04-24 00:36:00,completed,"{""workflow_category"": ""lead_enrichment"", ""template_used"": ""lead_enrichment"", ""records_input"": 1222}"
142,8,33,wf_8_16,2026-05-20,,failed,"{""workflow_category"": ""lead_enrichment"", ""template_used"": ""account_research"", ""records_input"": 1683}"
143,8,33,wf_8_17,2026-07-02,2026-07-02 01:47:00,completed,"{""workflow_category"": ""crm_sync"", ""template_used"": ""crm_enrichment"", ""records_input"": 1835}"
144,8,33,wf_8_18,2026-05-22,2026-05-22 01:26:00,completed,"{""workflow_category"": ""crm_sync"", ""template_used"": ""crm_enrichment"", ""records_input"": 871}"
145,9,34,wf_9_1,2026-07-17,2026-07-17 01:19:00,completed,"{""workflow_category"": ""personalized_outbound"", ""template_used"": ""personalized_outbound"", ""records_input"": 896}"
146,9,37,wf_9_2,2026-05-19,2026-05-19 00:45:00,completed,"{""workflow_category"": ""lead_enrichment"", ""template_used"": ""crm_enrichment"", ""records_input"": 957}"
147,9,35,wf_9_3,2026-07-22,2026-07-22 00:05:00,completed,"{""workflow_category"": ""ai_account_research"", ""template_used"": ""crm_enrichment"", ""records_input"": 1378}"
148,9,36,wf_9_4,2026-05-14,,failed,"{""workflow_category"": ""waterfall_enrichment"", ""template_used"": ""lead_enrichment"", ""records_input"": 775}"
149,9,34,wf_9_5,2026-05-03,,failed,"{""workflow_category"": ""lead_enrichment"", ""template_used"": ""account_research"", ""records_input"": 2925}"
150,9,37,wf_9_6,2026-05-12,2026-05-12 00:41:00,completed,"{""workflow_category"": ""lead_enrichment"", ""template_used"": ""lead_enrichment"", ""records_input"": 2594}"
151,9,34,wf_9_7,2026-07-09,2026-07-09 01:30:00,completed,"{""workflow_category"": ""lead_enrichment"", ""template_used"": ""account_research"", ""records_input"": 1148}"
152,9,34,wf_9_8,2026-06-20,2026-06-20 01:39:00,completed,"{""workflow_category"": ""lead_enrichment"", ""template_used"": ""lead_enrichment"", ""records_input"": 2817}"
153,9,37,wf_9_9,2026-05-31,2026-05-31 01:51:00,completed,"{""workflow_category"": ""waterfall_enrichment"", ""template_used"": ""lead_enrichment"", ""records_input"": 563}"
154,9,35,wf_9_10,2026-04-28,2026-04-28 01:35:00,completed,"{""workflow_category"": ""personalized_outbound"", ""template_used"": ""crm_enrichment"", ""records_input"": 2226}"
155,9,37,wf_9_11,2026-05-03,2026-05-03 01:09:00,completed,"{""workflow_category"": ""waterfall_enrichment"", ""template_used"": ""lead_enrichment"", ""records_input"": 422}"
156,9,34,wf_9_12,2026-07-21,,failed,"{""workflow_category"": ""crm_sync"", ""template_used"": ""lead_enrichment"", ""records_input"": 1961}"
157,9,35,wf_9_13,2026-05-12,2026-05-12 01:54:00,completed,"{""workflow_category"": ""waterfall_enrichment"", ""template_used"": ""crm_enrichment"", ""records_input"": 541}"
158,9,34,wf_9_14,2026-07-10,2026-07-10 00:27:00,completed,"{""workflow_category"": ""ai_account_research"", ""template_used"": ""personalized_outbound"", ""records_input"": 2793}"
159,9,34,wf_9_15,2026-07-19,2026-07-19 00:27:00,completed,"{""workflow_category"": ""crm_sync"", ""template_used"": ""crm_enrichment"", ""records_input"": 2403}"
160,9,36,wf_9_16,2026-06-02,2026-06-02 01:32:00,completed,"{""workflow_category"": ""lead_enrichment"", ""template_used"": ""lead_enrichment"", ""records_input"": 2316}"
161,9,35,wf_9_17,2026-07-17,2026-07-17 01:35:00,completed,"{""workflow_category"": ""crm_sync"", ""template_used"": ""lead_enrichment"", ""records_input"": 1304}"
162,9,34,wf_9_18,2026-04-27,2026-04-27 00:47:00,completed,"{""workflow_category"": ""ai_account_research"", ""template_used"": ""lead_enrichment"", ""records_input"": 1421}"
163,9,37,wf_9_19,2026-06-08,2026-06-08 00:47:00,completed,"{""workflow_category"": ""ai_account_research"", ""template_used"": ""account_research"", ""records_input"": 569}"
164,10,39,wf_10_1,2026-04-26,2026-04-26 00:16:00,completed,"{""workflow_category"": ""ai_account_research"", ""template_used"": ""account_research"", ""records_input"": 2455}"
