crm_event_id,customer_id,event_date,crm_event_type,opportunity_id,pipeline_amount,closed_won_amount,crm_metadata
65,18,2026-06-30,opportunity_created,opp_18_2,77196,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
66,19,2026-08-03,opportunity_created,opp_19_1,323884,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
67,20,2026-05-28,closed_won,opp_20_1,274386,33510,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
68,20,2026-05-29,meeting_booked,opp_20_2,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
69,21,2026-07-15,meeting_booked,opp_21_1,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
70,21,2026-08-04,opportunity_created,opp_21_2,69877,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
71,21,2026-06-18,meeting_booked,opp_21_3,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
72,21,2026-07-25,meeting_booked,opp_21_4,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
73,22,2026-04-27,opportunity_created,opp_22_1,2617670,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
74,22,2026-05-27,opportunity_created,opp_22_2,2617670,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
75,22,2026-06-05,opportunity_created,opp_22_3,2617670,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
76,23,2026-03-17,opportunity_created,opp_23_1,436688,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
77,23,2026-03-30,closed_won,opp_23_2,436688,31378,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
78,24,2026-05-23,opportunity_created,opp_24_1,21357,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
79,24,2026-07-07,meeting_booked,opp_24_2,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
80,24,2026-07-20,meeting_booked,opp_24_3,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
81,24,2026-07-29,meeting_booked,opp_24_4,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
82,25,2026-03-11,closed_won,opp_25_1,7567,718,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
83,25,2026-04-29,opportunity_created,opp_25_2,7567,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
84,25,2026-05-11,opportunity_created,opp_25_3,7567,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
85,26,2026-05-18,opportunity_created,opp_26_1,109850,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
86,26,2026-06-09,meeting_booked,opp_26_2,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
87,26,2026-05-12,closed_won,opp_26_3,109850,26418,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
88,26,2026-06-27,opportunity_created,opp_26_4,109850,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
89,27,2026-03-06,closed_won,opp_27_1,27168,2400,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
90,27,2026-04-11,opportunity_created,opp_27_2,27168,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
91,27,2026-01-29,opportunity_created,opp_27_3,27168,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
92,28,2026-02-07,closed_won,opp_28_1,554316,54599,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
93,29,2026-05-24,closed_won,opp_29_1,3976,739,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
94,29,2026-05-20,closed_won,opp_29_2,3976,739,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
95,29,2026-05-25,meeting_booked,opp_29_3,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
96,29,2026-06-08,closed_won,opp_29_4,3976,739,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
97,29,2026-05-18,closed_won,opp_29_5,3976,739,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
98,30,2026-04-13,opportunity_created,opp_30_1,482548,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
99,31,2026-04-08,opportunity_created,opp_31_1,2789472,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
100,32,2026-03-11,meeting_booked,opp_32_1,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
101,32,2026-01-27,opportunity_created,opp_32_2,109600,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
102,32,2026-03-11,meeting_booked,opp_32_3,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
103,32,2026-03-18,closed_won,opp_32_4,109600,6789,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
104,33,2026-02-03,closed_won,opp_33_1,618408,150698,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
105,33,2026-03-30,meeting_booked,opp_33_2,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
106,34,2026-06-11,opportunity_created,opp_34_1,70582,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
107,34,2026-06-18,closed_won,opp_34_2,70582,6666,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
108,34,2026-04-13,opportunity_created,opp_34_3,70582,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
109,34,2026-05-31,closed_won,opp_34_4,70582,6666,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
110,34,2026-04-24,closed_won,opp_34_5,70582,6666,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
111,35,2026-02-03,closed_won,opp_35_1,359116,43452,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
112,35,2026-04-15,meeting_booked,opp_35_2,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
113,35,2026-02-11,closed_won,opp_35_3,359116,43452,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
114,36,2026-05-22,meeting_booked,opp_36_1,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
115,36,2026-06-19,opportunity_created,opp_36_2,198190,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
116,36,2026-05-14,closed_won,opp_36_3,198190,17025,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
117,36,2026-05-03,meeting_booked,opp_36_4,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
118,36,2026-05-27,closed_won,opp_36_5,198190,17025,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
119,37,2026-02-10,opportunity_created,opp_37_1,17096,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
120,37,2026-03-26,closed_won,opp_37_2,17096,2027,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
121,37,2026-04-21,closed_won,opp_37_3,17096,2027,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
122,38,2026-04-16,meeting_booked,opp_38_1,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
123,38,2026-02-25,closed_won,opp_38_2,219024,25167,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
124,39,2026-03-19,meeting_booked,opp_39_1,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
125,39,2026-04-13,meeting_booked,opp_39_2,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
126,39,2026-05-26,meeting_booked,opp_39_3,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
127,39,2026-04-10,meeting_booked,opp_39_4,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
128,39,2026-04-06,opportunity_created,opp_39_5,11950,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
129,40,2026-05-06,meeting_booked,opp_40_1,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
130,40,2026-02-27,closed_won,opp_40_2,2005074,200025,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
131,41,2026-03-13,opportunity_created,opp_41_1,311834,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
132,41,2026-03-07,opportunity_created,opp_41_2,311834,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
133,41,2026-03-15,closed_won,opp_41_3,311834,70700,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
134,41,2026-03-31,closed_won,opp_41_4,311834,70700,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
135,42,2026-04-25,meeting_booked,opp_42_1,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
136,43,2026-05-27,closed_won,opp_43_1,237960,25198,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
137,43,2026-07-03,closed_won,opp_43_2,237960,25198,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
138,44,2026-05-14,opportunity_created,opp_44_1,94346,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
139,44,2026-05-11,closed_won,opp_44_2,94346,23560,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
140,44,2026-03-09,meeting_booked,opp_44_3,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
141,44,2026-05-08,meeting_booked,opp_44_4,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
142,45,2026-03-08,closed_won,opp_45_1,2725737,507158,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
143,45,2026-04-04,opportunity_created,opp_45_2,2725737,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
144,46,2026-04-19,meeting_booked,opp_46_1,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
145,46,2026-07-09,meeting_booked,opp_46_2,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
146,46,2026-04-18,closed_won,opp_46_3,303343,43129,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
147,47,2026-06-03,meeting_booked,opp_47_1,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
148,47,2026-06-05,closed_won,opp_47_2,438538,43696,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
149,47,2026-05-21,meeting_booked,opp_47_3,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
150,47,2026-05-25,meeting_booked,opp_47_4,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
151,47,2026-06-21,meeting_booked,opp_47_5,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
152,48,2026-06-11,closed_won,opp_48_1,358307,44868,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
153,49,2026-03-14,meeting_booked,opp_49_1,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
154,49,2026-05-02,meeting_booked,opp_49_2,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
155,49,2026-05-04,closed_won,opp_49_3,1515744,106152,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
156,49,2026-03-10,opportunity_created,opp_49_4,1515744,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
157,49,2026-05-28,closed_won,opp_49_5,1515744,106152,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
158,50,2026-05-21,meeting_booked,opp_50_1,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
159,50,2026-07-20,meeting_booked,opp_50_2,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
160,50,2026-07-23,opportunity_created,opp_50_3,437603,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
161,50,2026-05-31,meeting_booked,opp_50_4,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
162,51,2026-07-17,closed_won,opp_51_1,55740,13307,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
163,51,2026-07-25,closed_won,opp_51_2,55740,13307,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
164,52,2026-01-29,closed_won,opp_52_1,362128,42542,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
165,52,2026-04-01,opportunity_created,opp_52_2,362128,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
166,52,2026-03-17,meeting_booked,opp_52_3,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
167,52,2026-04-07,meeting_booked,opp_52_4,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
168,53,2026-04-16,meeting_booked,opp_53_1,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
169,53,2026-04-03,opportunity_created,opp_53_2,1900542,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
170,54,2026-04-23,opportunity_created,opp_54_1,530239,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
171,54,2026-04-08,opportunity_created,opp_54_2,530239,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
172,55,2026-04-05,opportunity_created,opp_55_1,3383352,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
173,56,2026-04-03,meeting_booked,opp_56_1,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
174,56,2026-04-23,closed_won,opp_56_2,79099,10261,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
175,56,2026-03-23,opportunity_created,opp_56_3,79099,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
176,56,2026-05-02,meeting_booked,opp_56_4,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
177,56,2026-05-06,closed_won,opp_56_5,79099,10261,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
178,57,2026-04-28,opportunity_created,opp_57_1,264583,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
179,57,2026-04-19,closed_won,opp_57_2,264583,45997,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
180,57,2026-05-23,opportunity_created,opp_57_3,264583,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
181,57,2026-03-19,closed_won,opp_57_4,264583,45997,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
182,57,2026-03-09,closed_won,opp_57_5,264583,45997,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
183,58,2026-04-06,opportunity_created,opp_58_1,120304,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
184,58,2026-03-31,meeting_booked,opp_58_2,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
185,58,2026-04-13,meeting_booked,opp_58_3,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
186,58,2026-06-21,opportunity_created,opp_58_4,120304,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
187,58,2026-04-13,meeting_booked,opp_58_5,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
188,59,2026-05-01,closed_won,opp_59_1,1992550,122424,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
189,59,2026-03-29,meeting_booked,opp_59_2,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
190,60,2026-04-17,opportunity_created,opp_60_1,388996,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
191,60,2026-04-28,opportunity_created,opp_60_2,388996,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
192,60,2026-04-02,meeting_booked,opp_60_3,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
193,60,2026-05-30,meeting_booked,opp_60_4,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
194,61,2026-03-19,closed_won,opp_61_1,3967149,498728,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
195,61,2026-02-18,closed_won,opp_61_2,3967149,498728,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
196,61,2026-04-04,meeting_booked,opp_61_3,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
197,62,2026-04-14,meeting_booked,opp_62_1,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
198,62,2026-05-24,closed_won,opp_62_2,2442614,607443,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
199,63,2026-04-10,opportunity_created,opp_63_1,901093,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
200,63,2026-04-07,meeting_booked,opp_63_2,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
201,63,2026-04-29,closed_won,opp_63_3,901093,115076,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
202,63,2026-02-25,meeting_booked,opp_63_4,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
203,63,2026-04-12,closed_won,opp_63_5,901093,115076,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
204,64,2026-06-08,closed_won,opp_64_1,349173,59715,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
205,64,2026-04-10,opportunity_created,opp_64_2,349173,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
206,65,2026-04-21,meeting_booked,opp_65_1,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
207,65,2026-05-03,closed_won,opp_65_2,27578,1747,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
208,65,2026-04-21,opportunity_created,opp_65_3,27578,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
209,65,2026-05-05,opportunity_created,opp_65_4,27578,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
210,65,2026-04-30,closed_won,opp_65_5,27578,1747,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
211,66,2026-04-02,opportunity_created,opp_66_1,1910839,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
212,66,2026-06-04,opportunity_created,opp_66_2,1910839,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
