usage_transaction_id,customer_id,event_timestamp,usage_type,usage_category,units_consumed,related_event_id,usage_metadata
40,3,2026-04-17,data_credit,waterfall,798,90,"{""workflow_run_id"": 20, ""source"": ""data_provider_or_ai""}"
41,3,2026-05-24,action,ai_account_research,150,93,"{""workflow_run_id"": 21, ""source"": ""workflow_execution""}"
42,3,2026-05-24,data_credit,ai_research,607,93,"{""workflow_run_id"": 21, ""source"": ""data_provider_or_ai""}"
43,3,2026-05-08,action,ai_account_research,448,98,"{""workflow_run_id"": 22, ""source"": ""workflow_execution""}"
44,3,2026-05-08,data_credit,enrichment,274,98,"{""workflow_run_id"": 22, ""source"": ""data_provider_or_ai""}"
45,3,2026-05-19,action,personalized_outbound,2805,103,"{""workflow_run_id"": 23, ""source"": ""workflow_execution""}"
46,3,2026-05-19,data_credit,enrichment,103,103,"{""workflow_run_id"": 23, ""source"": ""data_provider_or_ai""}"
47,4,2026-06-05,action,crm_sync,2225,108,"{""workflow_run_id"": 24, ""source"": ""workflow_execution""}"
48,4,2026-06-05,data_credit,ai_research,687,108,"{""workflow_run_id"": 24, ""source"": ""data_provider_or_ai""}"
49,4,2026-06-02,action,waterfall_enrichment,1962,111,"{""workflow_run_id"": 25, ""source"": ""workflow_execution""}"
50,4,2026-06-02,data_credit,ai_research,110,111,"{""workflow_run_id"": 25, ""source"": ""data_provider_or_ai""}"
51,4,2026-05-30,action,waterfall_enrichment,2960,116,"{""workflow_run_id"": 26, ""source"": ""workflow_execution""}"
52,4,2026-05-30,data_credit,enrichment,516,116,"{""workflow_run_id"": 26, ""source"": ""data_provider_or_ai""}"
53,4,2026-05-01,action,ai_account_research,2184,121,"{""workflow_run_id"": 27, ""source"": ""workflow_execution""}"
54,4,2026-05-01,data_credit,ai_research,742,121,"{""workflow_run_id"": 27, ""source"": ""data_provider_or_ai""}"
55,4,2026-06-20,action,waterfall_enrichment,110,126,"{""workflow_run_id"": 28, ""source"": ""workflow_execution""}"
56,4,2026-06-20,data_credit,waterfall,309,126,"{""workflow_run_id"": 28, ""source"": ""data_provider_or_ai""}"
57,4,2026-06-05,action,waterfall_enrichment,617,131,"{""workflow_run_id"": 29, ""source"": ""workflow_execution""}"
58,4,2026-06-05,data_credit,waterfall,534,131,"{""workflow_run_id"": 29, ""source"": ""data_provider_or_ai""}"
59,4,2026-06-09,action,waterfall_enrichment,2652,136,"{""workflow_run_id"": 30, ""source"": ""workflow_execution""}"
60,4,2026-06-09,data_credit,ai_research,729,136,"{""workflow_run_id"": 30, ""source"": ""data_provider_or_ai""}"
61,4,2026-07-20,action,personalized_outbound,503,141,"{""workflow_run_id"": 31, ""source"": ""workflow_execution""}"
62,4,2026-07-20,data_credit,waterfall,798,141,"{""workflow_run_id"": 31, ""source"": ""data_provider_or_ai""}"
63,4,2026-05-10,action,crm_sync,2138,146,"{""workflow_run_id"": 32, ""source"": ""workflow_execution""}"
64,4,2026-05-10,data_credit,enrichment,617,146,"{""workflow_run_id"": 32, ""source"": ""data_provider_or_ai""}"
65,4,2026-05-27,action,waterfall_enrichment,2454,151,"{""workflow_run_id"": 33, ""source"": ""workflow_execution""}"
66,4,2026-05-27,data_credit,waterfall,322,151,"{""workflow_run_id"": 33, ""source"": ""data_provider_or_ai""}"
67,4,2026-06-04,action,waterfall_enrichment,1438,154,"{""workflow_run_id"": 34, ""source"": ""workflow_execution""}"
68,4,2026-06-04,data_credit,ai_research,785,154,"{""workflow_run_id"": 34, ""source"": ""data_provider_or_ai""}"
69,4,2026-05-20,action,personalized_outbound,2870,159,"{""workflow_run_id"": 35, ""source"": ""workflow_execution""}"
70,4,2026-05-20,data_credit,waterfall,761,159,"{""workflow_run_id"": 35, ""source"": ""data_provider_or_ai""}"
71,4,2026-06-17,action,crm_sync,2971,164,"{""workflow_run_id"": 36, ""source"": ""workflow_execution""}"
72,4,2026-06-17,data_credit,waterfall,329,164,"{""workflow_run_id"": 36, ""source"": ""data_provider_or_ai""}"
73,4,2026-06-19,action,lead_enrichment,1921,169,"{""workflow_run_id"": 37, ""source"": ""workflow_execution""}"
74,4,2026-06-19,data_credit,ai_research,261,169,"{""workflow_run_id"": 37, ""source"": ""data_provider_or_ai""}"
75,4,2026-05-10,action,crm_sync,381,174,"{""workflow_run_id"": 38, ""source"": ""workflow_execution""}"
76,4,2026-05-10,data_credit,enrichment,587,174,"{""workflow_run_id"": 38, ""source"": ""data_provider_or_ai""}"
77,4,2026-07-12,action,ai_account_research,164,179,"{""workflow_run_id"": 39, ""source"": ""workflow_execution""}"
78,4,2026-07-12,data_credit,ai_research,198,179,"{""workflow_run_id"": 39, ""source"": ""data_provider_or_ai""}"
79,4,2026-05-04,action,personalized_outbound,2910,184,"{""workflow_run_id"": 40, ""source"": ""workflow_execution""}"
80,4,2026-05-04,data_credit,ai_research,130,184,"{""workflow_run_id"": 40, ""source"": ""data_provider_or_ai""}"
81,4,2026-06-23,action,crm_sync,1035,189,"{""workflow_run_id"": 41, ""source"": ""workflow_execution""}"
82,4,2026-06-23,data_credit,ai_research,443,189,"{""workflow_run_id"": 41, ""source"": ""data_provider_or_ai""}"
83,4,2026-06-25,action,lead_enrichment,2844,194,"{""workflow_run_id"": 42, ""source"": ""workflow_execution""}"
84,4,2026-06-25,data_credit,ai_research,145,194,"{""workflow_run_id"": 42, ""source"": ""data_provider_or_ai""}"
85,4,2026-06-12,action,waterfall_enrichment,2451,199,"{""workflow_run_id"": 43, ""source"": ""workflow_execution""}"
86,4,2026-06-12,data_credit,ai_research,251,199,"{""workflow_run_id"": 43, ""source"": ""data_provider_or_ai""}"
87,4,2026-07-08,action,personalized_outbound,2272,204,"{""workflow_run_id"": 44, ""source"": ""workflow_execution""}"
88,4,2026-07-08,data_credit,ai_research,240,204,"{""workflow_run_id"": 44, ""source"": ""data_provider_or_ai""}"
89,4,2026-06-20,action,crm_sync,1796,209,"{""workflow_run_id"": 45, ""source"": ""workflow_execution""}"
90,4,2026-06-20,data_credit,enrichment,299,209,"{""workflow_run_id"": 45, ""source"": ""data_provider_or_ai""}"
91,4,2026-07-02,action,lead_enrichment,1146,214,"{""workflow_run_id"": 46, ""source"": ""workflow_execution""}"
92,4,2026-07-02,data_credit,ai_research,316,214,"{""workflow_run_id"": 46, ""source"": ""data_provider_or_ai""}"
93,4,2026-05-13,action,waterfall_enrichment,2722,219,"{""workflow_run_id"": 47, ""source"": ""workflow_execution""}"
94,4,2026-05-13,data_credit,ai_research,447,219,"{""workflow_run_id"": 47, ""source"": ""data_provider_or_ai""}"
95,4,2026-05-12,action,crm_sync,2273,224,"{""workflow_run_id"": 48, ""source"": ""workflow_execution""}"
96,4,2026-05-12,data_credit,enrichment,542,224,"{""workflow_run_id"": 48, ""source"": ""data_provider_or_ai""}"
97,4,2026-06-11,action,ai_account_research,2409,229,"{""workflow_run_id"": 49, ""source"": ""workflow_execution""}"
98,4,2026-06-11,data_credit,waterfall,798,229,"{""workflow_run_id"": 49, ""source"": ""data_provider_or_ai""}"
99,4,2026-06-24,action,personalized_outbound,403,232,"{""workflow_run_id"": 50, ""source"": ""workflow_execution""}"
100,4,2026-06-24,data_credit,ai_research,337,232,"{""workflow_run_id"": 50, ""source"": ""data_provider_or_ai""}"
101,4,2026-06-24,action,crm_sync,1416,237,"{""workflow_run_id"": 51, ""source"": ""workflow_execution""}"
102,4,2026-06-24,data_credit,ai_research,639,237,"{""workflow_run_id"": 51, ""source"": ""data_provider_or_ai""}"
103,4,2026-07-01,action,waterfall_enrichment,1258,240,"{""workflow_run_id"": 52, ""source"": ""workflow_execution""}"
104,4,2026-07-01,data_credit,ai_research,416,240,"{""workflow_run_id"": 52, ""source"": ""data_provider_or_ai""}"
105,4,2026-06-10,action,crm_sync,628,245,"{""workflow_run_id"": 53, ""source"": ""workflow_execution""}"
106,4,2026-06-10,data_credit,waterfall,629,245,"{""workflow_run_id"": 53, ""source"": ""data_provider_or_ai""}"
107,4,2026-05-08,action,crm_sync,2179,250,"{""workflow_run_id"": 54, ""source"": ""workflow_execution""}"
108,4,2026-05-08,data_credit,waterfall,572,250,"{""workflow_run_id"": 54, ""source"": ""data_provider_or_ai""}"
109,4,2026-07-04,action,personalized_outbound,1606,255,"{""workflow_run_id"": 55, ""source"": ""workflow_execution""}"
110,4,2026-07-04,data_credit,waterfall,714,255,"{""workflow_run_id"": 55, ""source"": ""data_provider_or_ai""}"
111,4,2026-06-23,action,waterfall_enrichment,703,260,"{""workflow_run_id"": 56, ""source"": ""workflow_execution""}"
112,4,2026-06-23,data_credit,enrichment,467,260,"{""workflow_run_id"": 56, ""source"": ""data_provider_or_ai""}"
113,4,2026-05-26,action,crm_sync,663,265,"{""workflow_run_id"": 57, ""source"": ""workflow_execution""}"
114,4,2026-05-26,data_credit,ai_research,59,265,"{""workflow_run_id"": 57, ""source"": ""data_provider_or_ai""}"
115,4,2026-06-27,action,waterfall_enrichment,167,270,"{""workflow_run_id"": 58, ""source"": ""workflow_execution""}"
116,4,2026-06-27,data_credit,waterfall,667,270,"{""workflow_run_id"": 58, ""source"": ""data_provider_or_ai""}"
117,4,2026-07-10,action,crm_sync,2328,275,"{""workflow_run_id"": 59, ""source"": ""workflow_execution""}"
118,4,2026-07-10,data_credit,waterfall,539,275,"{""workflow_run_id"": 59, ""source"": ""data_provider_or_ai""}"
119,4,2026-07-07,action,waterfall_enrichment,2732,280,"{""workflow_run_id"": 60, ""source"": ""workflow_execution""}"
120,4,2026-07-07,data_credit,waterfall,199,280,"{""workflow_run_id"": 60, ""source"": ""data_provider_or_ai""}"
121,4,2026-06-26,action,ai_account_research,2324,285,"{""workflow_run_id"": 61, ""source"": ""workflow_execution""}"
122,4,2026-06-26,data_credit,ai_research,504,285,"{""workflow_run_id"": 61, ""source"": ""data_provider_or_ai""}"
123,4,2026-05-02,action,crm_sync,1863,290,"{""workflow_run_id"": 62, ""source"": ""workflow_execution""}"
124,4,2026-05-02,data_credit,enrichment,636,290,"{""workflow_run_id"": 62, ""source"": ""data_provider_or_ai""}"
125,4,2026-07-06,action,lead_enrichment,227,295,"{""workflow_run_id"": 63, ""source"": ""workflow_execution""}"
126,4,2026-07-06,data_credit,waterfall,166,295,"{""workflow_run_id"": 63, ""source"": ""data_provider_or_ai""}"
127,5,2026-04-06,action,waterfall_enrichment,1018,300,"{""workflow_run_id"": 64, ""source"": ""workflow_execution""}"
128,5,2026-04-06,data_credit,enrichment,144,300,"{""workflow_run_id"": 64, ""source"": ""data_provider_or_ai""}"
129,5,2026-03-27,action,lead_enrichment,625,303,"{""workflow_run_id"": 65, ""source"": ""workflow_execution""}"
130,5,2026-03-27,data_credit,waterfall,584,303,"{""workflow_run_id"": 65, ""source"": ""data_provider_or_ai""}"
131,5,2026-05-24,action,ai_account_research,2660,306,"{""workflow_run_id"": 66, ""source"": ""workflow_execution""}"
132,5,2026-05-24,data_credit,waterfall,330,306,"{""workflow_run_id"": 66, ""source"": ""data_provider_or_ai""}"
133,5,2026-05-17,action,ai_account_research,1103,311,"{""workflow_run_id"": 67, ""source"": ""workflow_execution""}"
134,5,2026-05-17,data_credit,ai_research,721,311,"{""workflow_run_id"": 67, ""source"": ""data_provider_or_ai""}"
135,5,2026-04-17,action,lead_enrichment,534,316,"{""workflow_run_id"": 68, ""source"": ""workflow_execution""}"
136,5,2026-04-17,data_credit,enrichment,346,316,"{""workflow_run_id"": 68, ""source"": ""data_provider_or_ai""}"
137,5,2026-05-08,action,ai_account_research,468,321,"{""workflow_run_id"": 69, ""source"": ""workflow_execution""}"
138,5,2026-05-08,data_credit,waterfall,422,321,"{""workflow_run_id"": 69, ""source"": ""data_provider_or_ai""}"
139,5,2026-05-07,action,crm_sync,1682,326,"{""workflow_run_id"": 70, ""source"": ""workflow_execution""}"
140,5,2026-05-07,data_credit,ai_research,536,326,"{""workflow_run_id"": 70, ""source"": ""data_provider_or_ai""}"
141,5,2026-05-19,action,personalized_outbound,1971,329,"{""workflow_run_id"": 71, ""source"": ""workflow_execution""}"
142,5,2026-05-19,data_credit,waterfall,172,329,"{""workflow_run_id"": 71, ""source"": ""data_provider_or_ai""}"
143,5,2026-05-14,action,personalized_outbound,2918,334,"{""workflow_run_id"": 72, ""source"": ""workflow_execution""}"
144,5,2026-05-14,data_credit,enrichment,664,334,"{""workflow_run_id"": 72, ""source"": ""data_provider_or_ai""}"
145,5,2026-05-25,action,personalized_outbound,177,339,"{""workflow_run_id"": 73, ""source"": ""workflow_execution""}"
146,5,2026-05-25,data_credit,ai_research,471,339,"{""workflow_run_id"": 73, ""source"": ""data_provider_or_ai""}"
147,5,2026-05-02,action,ai_account_research,1021,344,"{""workflow_run_id"": 74, ""source"": ""workflow_execution""}"
148,5,2026-05-02,data_credit,ai_research,324,344,"{""workflow_run_id"": 74, ""source"": ""data_provider_or_ai""}"
149,5,2026-04-05,action,crm_sync,1210,349,"{""workflow_run_id"": 75, ""source"": ""workflow_execution""}"
150,5,2026-04-05,data_credit,waterfall,595,349,"{""workflow_run_id"": 75, ""source"": ""data_provider_or_ai""}"
151,5,2026-04-13,action,personalized_outbound,2055,354,"{""workflow_run_id"": 76, ""source"": ""workflow_execution""}"
152,5,2026-04-13,data_credit,enrichment,686,354,"{""workflow_run_id"": 76, ""source"": ""data_provider_or_ai""}"
153,6,2026-05-06,action,lead_enrichment,1929,359,"{""workflow_run_id"": 77, ""source"": ""workflow_execution""}"
154,6,2026-05-06,data_credit,ai_research,791,359,"{""workflow_run_id"": 77, ""source"": ""data_provider_or_ai""}"
155,6,2026-03-27,action,personalized_outbound,2716,364,"{""workflow_run_id"": 78, ""source"": ""workflow_execution""}"
156,6,2026-03-27,data_credit,ai_research,322,364,"{""workflow_run_id"": 78, ""source"": ""data_provider_or_ai""}"
157,6,2026-05-02,action,ai_account_research,352,369,"{""workflow_run_id"": 79, ""source"": ""workflow_execution""}"
158,6,2026-05-02,data_credit,waterfall,580,369,"{""workflow_run_id"": 79, ""source"": ""data_provider_or_ai""}"
159,6,2026-03-10,action,ai_account_research,640,374,"{""workflow_run_id"": 80, ""source"": ""workflow_execution""}"
160,6,2026-03-10,data_credit,ai_research,545,374,"{""workflow_run_id"": 80, ""source"": ""data_provider_or_ai""}"
161,6,2026-04-12,action,waterfall_enrichment,346,379,"{""workflow_run_id"": 81, ""source"": ""workflow_execution""}"
162,6,2026-04-12,data_credit,ai_research,90,379,"{""workflow_run_id"": 81, ""source"": ""data_provider_or_ai""}"
163,6,2026-02-17,action,ai_account_research,193,384,"{""workflow_run_id"": 82, ""source"": ""workflow_execution""}"
164,6,2026-02-17,data_credit,ai_research,325,384,"{""workflow_run_id"": 82, ""source"": ""data_provider_or_ai""}"
165,6,2026-05-10,action,personalized_outbound,1085,389,"{""workflow_run_id"": 83, ""source"": ""workflow_execution""}"
166,6,2026-05-10,data_credit,enrichment,231,389,"{""workflow_run_id"": 83, ""source"": ""data_provider_or_ai""}"
167,6,2026-02-25,action,personalized_outbound,2465,394,"{""workflow_run_id"": 84, ""source"": ""workflow_execution""}"
168,6,2026-02-25,data_credit,waterfall,632,394,"{""workflow_run_id"": 84, ""source"": ""data_provider_or_ai""}"
169,6,2026-03-26,action,ai_account_research,2248,399,"{""workflow_run_id"": 85, ""source"": ""workflow_execution""}"
170,6,2026-03-26,data_credit,waterfall,346,399,"{""workflow_run_id"": 85, ""source"": ""data_provider_or_ai""}"
171,6,2026-04-07,action,waterfall_enrichment,2270,404,"{""workflow_run_id"": 86, ""source"": ""workflow_execution""}"
172,6,2026-04-07,data_credit,ai_research,157,404,"{""workflow_run_id"": 86, ""source"": ""data_provider_or_ai""}"
173,6,2026-03-16,action,lead_enrichment,967,409,"{""workflow_run_id"": 87, ""source"": ""workflow_execution""}"
174,6,2026-03-16,data_credit,waterfall,214,409,"{""workflow_run_id"": 87, ""source"": ""data_provider_or_ai""}"
175,6,2026-02-28,action,waterfall_enrichment,932,412,"{""workflow_run_id"": 88, ""source"": ""workflow_execution""}"
176,6,2026-02-28,data_credit,ai_research,399,412,"{""workflow_run_id"": 88, ""source"": ""data_provider_or_ai""}"
177,6,2026-04-06,action,ai_account_research,1542,417,"{""workflow_run_id"": 89, ""source"": ""workflow_execution""}"
178,6,2026-04-06,data_credit,enrichment,193,417,"{""workflow_run_id"": 89, ""source"": ""data_provider_or_ai""}"
179,7,2026-05-28,action,crm_sync,1653,422,"{""workflow_run_id"": 90, ""source"": ""workflow_execution""}"
180,7,2026-05-28,data_credit,waterfall,406,422,"{""workflow_run_id"": 90, ""source"": ""data_provider_or_ai""}"
181,7,2026-05-21,action,ai_account_research,2935,427,"{""workflow_run_id"": 91, ""source"": ""workflow_execution""}"
182,7,2026-05-21,data_credit,ai_research,600,427,"{""workflow_run_id"": 91, ""source"": ""data_provider_or_ai""}"
183,7,2026-04-25,action,crm_sync,1693,430,"{""workflow_run_id"": 92, ""source"": ""workflow_execution""}"
184,7,2026-04-25,data_credit,waterfall,713,430,"{""workflow_run_id"": 92, ""source"": ""data_provider_or_ai""}"
185,7,2026-05-03,action,ai_account_research,2697,435,"{""workflow_run_id"": 93, ""source"": ""workflow_execution""}"
186,7,2026-05-03,data_credit,ai_research,299,435,"{""workflow_run_id"": 93, ""source"": ""data_provider_or_ai""}"
187,7,2026-05-23,action,waterfall_enrichment,536,440,"{""workflow_run_id"": 94, ""source"": ""workflow_execution""}"
188,7,2026-05-23,data_credit,enrichment,113,440,"{""workflow_run_id"": 94, ""source"": ""data_provider_or_ai""}"
189,7,2026-04-30,action,crm_sync,2391,445,"{""workflow_run_id"": 95, ""source"": ""workflow_execution""}"
190,7,2026-04-30,data_credit,waterfall,268,445,"{""workflow_run_id"": 95, ""source"": ""data_provider_or_ai""}"
191,7,2026-05-27,action,ai_account_research,654,450,"{""workflow_run_id"": 96, ""source"": ""workflow_execution""}"
192,7,2026-05-27,data_credit,enrichment,331,450,"{""workflow_run_id"": 96, ""source"": ""data_provider_or_ai""}"
193,7,2026-05-11,action,waterfall_enrichment,1293,455,"{""workflow_run_id"": 97, ""source"": ""workflow_execution""}"
194,7,2026-05-11,data_credit,waterfall,772,455,"{""workflow_run_id"": 97, ""source"": ""data_provider_or_ai""}"
195,7,2026-06-11,action,ai_account_research,1293,458,"{""workflow_run_id"": 98, ""source"": ""workflow_execution""}"
196,7,2026-06-11,data_credit,enrichment,729,458,"{""workflow_run_id"": 98, ""source"": ""data_provider_or_ai""}"
197,7,2026-05-13,action,crm_sync,2288,463,"{""workflow_run_id"": 99, ""source"": ""workflow_execution""}"
198,7,2026-05-13,data_credit,waterfall,538,463,"{""workflow_run_id"": 99, ""source"": ""data_provider_or_ai""}"
199,7,2026-05-14,action,crm_sync,1159,468,"{""workflow_run_id"": 100, ""source"": ""workflow_execution""}"
200,7,2026-05-14,data_credit,waterfall,247,468,"{""workflow_run_id"": 100, ""source"": ""data_provider_or_ai""}"
201,7,2026-05-27,action,personalized_outbound,680,473,"{""workflow_run_id"": 101, ""source"": ""workflow_execution""}"
202,7,2026-05-27,data_credit,ai_research,376,473,"{""workflow_run_id"": 101, ""source"": ""data_provider_or_ai""}"
203,7,2026-05-04,action,personalized_outbound,2213,478,"{""workflow_run_id"": 102, ""source"": ""workflow_execution""}"
204,7,2026-05-04,data_credit,waterfall,198,478,"{""workflow_run_id"": 102, ""source"": ""data_provider_or_ai""}"
205,7,2026-04-11,action,waterfall_enrichment,2299,483,"{""workflow_run_id"": 103, ""source"": ""workflow_execution""}"
206,7,2026-04-11,data_credit,ai_research,211,483,"{""workflow_run_id"": 103, ""source"": ""data_provider_or_ai""}"
207,7,2026-05-02,action,crm_sync,1350,488,"{""workflow_run_id"": 104, ""source"": ""workflow_execution""}"
208,7,2026-05-02,data_credit,enrichment,139,488,"{""workflow_run_id"": 104, ""source"": ""data_provider_or_ai""}"
209,7,2026-05-08,action,waterfall_enrichment,139,493,"{""workflow_run_id"": 105, ""source"": ""workflow_execution""}"
210,7,2026-05-08,data_credit,enrichment,516,493,"{""workflow_run_id"": 105, ""source"": ""data_provider_or_ai""}"
211,7,2026-04-15,action,personalized_outbound,1973,498,"{""workflow_run_id"": 106, ""source"": ""workflow_execution""}"
212,7,2026-04-15,data_credit,waterfall,599,498,"{""workflow_run_id"": 106, ""source"": ""data_provider_or_ai""}"
213,7,2026-05-24,action,personalized_outbound,2777,503,"{""workflow_run_id"": 107, ""source"": ""workflow_execution""}"
214,7,2026-05-24,data_credit,enrichment,789,503,"{""workflow_run_id"": 107, ""source"": ""data_provider_or_ai""}"
215,7,2026-04-29,action,waterfall_enrichment,1251,506,"{""workflow_run_id"": 108, ""source"": ""workflow_execution""}"
216,7,2026-04-29,data_credit,waterfall,631,506,"{""workflow_run_id"": 108, ""source"": ""data_provider_or_ai""}"
217,7,2026-04-12,action,crm_sync,1419,509,"{""workflow_run_id"": 109, ""source"": ""workflow_execution""}"
218,7,2026-04-12,data_credit,waterfall,273,509,"{""workflow_run_id"": 109, ""source"": ""data_provider_or_ai""}"
219,7,2026-05-11,action,crm_sync,1440,514,"{""workflow_run_id"": 110, ""source"": ""workflow_execution""}"
220,7,2026-05-11,data_credit,enrichment,615,514,"{""workflow_run_id"": 110, ""source"": ""data_provider_or_ai""}"
221,7,2026-04-02,action,crm_sync,298,517,"{""workflow_run_id"": 111, ""source"": ""workflow_execution""}"
222,7,2026-04-02,data_credit,enrichment,67,517,"{""workflow_run_id"": 111, ""source"": ""data_provider_or_ai""}"
223,7,2026-06-10,action,lead_enrichment,2821,522,"{""workflow_run_id"": 112, ""source"": ""workflow_execution""}"
224,7,2026-06-10,data_credit,enrichment,684,522,"{""workflow_run_id"": 112, ""source"": ""data_provider_or_ai""}"
225,7,2026-03-28,action,ai_account_research,2942,527,"{""workflow_run_id"": 113, ""source"": ""workflow_execution""}"
226,7,2026-03-28,data_credit,ai_research,155,527,"{""workflow_run_id"": 113, ""source"": ""data_provider_or_ai""}"
227,7,2026-03-31,action,lead_enrichment,2672,532,"{""workflow_run_id"": 114, ""source"": ""workflow_execution""}"
228,7,2026-03-31,data_credit,enrichment,786,532,"{""workflow_run_id"": 114, ""source"": ""data_provider_or_ai""}"
229,7,2026-05-13,action,ai_account_research,2585,537,"{""workflow_run_id"": 115, ""source"": ""workflow_execution""}"
230,7,2026-05-13,data_credit,enrichment,541,537,"{""workflow_run_id"": 115, ""source"": ""data_provider_or_ai""}"
231,7,2026-05-11,action,ai_account_research,2428,542,"{""workflow_run_id"": 116, ""source"": ""workflow_execution""}"
232,7,2026-05-11,data_credit,ai_research,450,542,"{""workflow_run_id"": 116, ""source"": ""data_provider_or_ai""}"
233,7,2026-05-30,action,waterfall_enrichment,1273,547,"{""workflow_run_id"": 117, ""source"": ""workflow_execution""}"
234,7,2026-05-30,data_credit,waterfall,663,547,"{""workflow_run_id"": 117, ""source"": ""data_provider_or_ai""}"
235,7,2026-05-25,action,waterfall_enrichment,453,552,"{""workflow_run_id"": 118, ""source"": ""workflow_execution""}"
236,7,2026-05-25,data_credit,enrichment,464,552,"{""workflow_run_id"": 118, ""source"": ""data_provider_or_ai""}"
